manufacturer_id,nm_manufacturer,country
61007,CULTIVO LAS NUBES,Colombia
61008,Dapasos Flowers,Colombia
61009,DIEGO JAVIER DEL POZO ANDRADE,Ecuador
61010,DIMENTION FLOWERS,Ecuador
61012,El Milagro,Colombia
61015,EXPRESS FARM SAS,Colombia
61016,FAIRIS GARDEN,Ecuador
61017,FARIN ROSES,Ecuador
61018,FLOR ANDINA,Colombia
61019,FLOR MAYTE FLOWERS,Ecuador
61021,FLORAL CHAIN GROUP CORP.,Ecuador
61022,FLORES DE OTONO SAS,Colombia
61023,FLORES GUAICATA LIMITADA,Colombia
61024,FLORES JUNCALITO SAS,Colombia
61025,Floricola I rose,Ecuador
61026,FLORICOLA PALATUFLOWERS SA,Ecuador
61027,Floricola San Luis,Ecuador
61028,DBA FLORIGENE,Colombia
61031,GALAPAGOS FLORES,Ecuador
61034,Flores La Conchita,Colombia
61035,GREEN STAR FARMS,Ecuador
61037,INVERSIONES JACARANDA S.A.S,Colombia
61038,JHESSIA FLOWERS,Ecuador
61039,LA CLEMENTINA,Ecuador
61040,LATIN FLOWERS,Colombia
61042,MANAURE FLOWERS SAS,Colombia
61043,Megaflor Cayambe,Ecuador
61045,MILAGROSA FLOWERS,Colombia
61047,MONIKA FARMS S.A.S,Colombia
61048,MUCHFLOWERS,Ecuador
61051,NOVELTY AND FLOWERS SAS,Colombia
61052,ONE MILLION STEMS,Ecuador
61053,PHYTOTEC SAS,Colombia
61056,RIONEGRO,Colombia
61057,ROMANCE FLOWERS,Ecuador
61061,SKY FLOWERS SAS,Colombia
61063,SOUTHERN BLOOMS,Ecuador
61064,STAR GREEN,Ecuador
61065,STARFLOWERS CIA LTDA,Ecuador
61067,SUNSET VALLEY SAS,Colombia
61071,VARAGA FARMS S.A.S,Colombia
61072,VIOLETA FLOWERS AND FARMS,Ecuador
61074,YASUFLOR,Ecuador
61075,CULTIVOS OLIVARES S.A.,Colombia
61076,FLORCO,Colombia
61078,GUARAQUI,Ecuador
61079,GUTIMILKO,Colombia
61080,M & E FLOWERS SAS,Colombia
61081,MADAMME ROSES S.A.S.,Colombia
61082,PIANGOFLOR,Ecuador
61083,ROLAND FLOR,Ecuador
61086,Victoria's Garden,Ecuador
61087,FLORISING COMMERCIAL & LOGISTI,Colombia
61088,HONEY ROSAS,Ecuador
61127,C.I. Jardines de los Andes,Colombia
61137,Exxide S.A.,Ecuador
61158,Ball Colombia,Colombia
61159,GUIRNALDAS/INNOVAFLORA S.A.S.,Colombia
61210,Borja Flowers,Colombia
61211,Cultivos del Norte S.A.S.,Colombia
61212,Flores Timana,Colombia
61213,Flores de Tumbabiro,Ecuador
